id,condition,score,api_response
33,low,121,No specific rules detected.
34,low,111,"Rule: Combinations always take on the shape of the first crystal.  
Rule: Combinations always take on the texture of the second crystal."
35,medium,0,No specific rules detected.
36,low,26,No specific rules detected.
37,medium,140,No specific rules detected.
38,high,300000,Rule: Combinations are valid if both objects are the same shape.
39,high,110000,No specific rules detected.
40,high,100000,No specific rules detected.
41,low,0,No specific rules detected.
42,medium,111,No specific rules detected.
43,high,382,"Rule: Pattern + Non-pattern = Orange

Rule: Orange + Squared-pattern = Yellow"
44,high,300031,Rule: Combinations are valid if both objects are the same shape.
45,low,1018,"Rule: Combinations are valid if both objects have matching patterns.  
Rule: Combinations are best if objects look alike."
46,low,175,No specific rules detected.
47,high,400031,Rule: Combinations are valid if both objects are the same shape.
48,low,1105,No specific rules detected.
49,low,0,"Rule: Rectangles fuse with circles.  
Rule: Triangles fuse with rhombus.  
Rule: Do not fuse two items of the same shape."
50,low,27,No specific rules detected.
51,high,0,Rule: Crystals can only fuse if the second crystal has higher energy than the first.
52,medium,112,"Rule: Square and circle of different patterns can fuse.  
Rule: Triangle and diamond of different patterns can fuse."
53,low,100,No specific rules detected.
54,high,11000,Rule: Combinations are valid if both objects are the same shape.
55,medium,7,Rule: Combinations are valid if items have the same pattern.
56,low,0,No specific rules detected.
57,medium,301101,No specific rules detected.
58,low,100,"Rule: Combinations are more likely if both objects are triangles or diamonds. 
Rule: Combinations are more likely if the objects are three-sided or four-sided shapes. 
Rule: Combinations are unlikely if objects have like shapes and patterns."
59,high,119,Rule: Combinations are valid if both objects are the same shape.
60,low,350,"Rule: Combinations of circles and squares are valid if both objects have the same pattern.  
Rule: Combinations of rhombus and triangles are valid if they do not have the same pattern or a dotted pattern with lines.  
Rule: Fusing a square with a circle creates a square.  
Rule: Fusing a circle with a square creates a circle."
61,high,11,Rule: Combinations are valid if both objects have the same pattern.
62,high,213,Rule: Combinations are valid if both objects are the same shape.
63,medium,1006,No specific rules detected.
64,medium,200002,Rule: Combinations are valid if the held object is fused with a same-shaped object that has a different pattern.
65,low,76,No specific rules detected.
66,medium,1011,Rule: Combinations are valid if a solid color object is mixed with a striped object to produce new colors.
67,high,210040,"Rule: 2 of lesser color = 1 of higher color.  
Rule: red + orange = light green.  
Rule: red + light green = dark green.  
Rule: orange + green = blue.  
Rule: red + blue = purple."
68,medium,24,No specific rules detected.
69,low,0,Rule: Combinations are valid if both objects are the same colour.
70,low,130,Rule: Combinations are valid if objects have matching patterns and colors.
71,medium,144,No specific rules detected.
72,high,24,No specific rules detected.
73,low,157,"Rule: Combinations are valid if objects are squares and circles.
Rule: Combinations are valid if objects are triangles and diagonal shapes."
74,medium,218,No specific rules detected.
75,medium,111,No specific rules detected.
76,high,10,Rule: Combinations are valid if both objects are the same shape.
77,low,10020,Rule: Combinations are valid if one object is a diamond and the other is a triangle.
78,high,0,Rule: Combinations are valid if both objects are the same color (red).
79,high,21015,No specific rules detected.
80,medium,58,Rule: Combinations are valid if one object has diagonal stripes and the other object is checked.
81,medium,23,No specific rules detected.
82,low,112,"Rule: Combinations are valid if objects are circles and squares.  
Rule: Combinations are valid if objects are diamonds and triangles."
83,medium,1001,"Rule: Combinations are valid if one object is a circle and the other is a square.  
Rule: The shape of the new object is determined by the shape being held.  
Rule: The inner pattern of the new object is determined by the shape not being held."
84,high,111,Rule: Combinations are valid if both objects are the same shape.
85,high,111143,Rule: Combinations are valid if both objects are the same shape.
86,high,100012,Rule: Combinations are valid if both objects are the same shape.
87,medium,11001,No specific rules detected.
88,low,1,No specific rules detected.
89,low,0,No specific rules detected.
90,medium,362,"Rule: Same shapes cannot be combined.  
Rule: Shapes with the same pattern cannot be combined.  
Rule: Combinations are valid if they follow the specific recipes:  
- Blank square + checkered circle, or vice versa  
- Blank rhombus + checkered triangle, or vice versa  
- Blank triangle + dotted rhombus, or vice versa  
- Dotted triangle + diagonal rhombus, or vice versa  
- Diagonal triangle + checkered rhombus, or vice versa  
Rule: Any resulting fusion can also be combined according to the recipes to make an even more valuable mineral."
91,medium,1,"Rule: Combinations are valid if a square and circle are combined.  
Rule: Combinations are valid if a kite and triangle are combined."
92,high,201,Rule: Combinations are valid if both objects are the same shape.
93,medium,212,No specific rules detected.
94,low,62,No specific rules detected.
95,medium,27,No specific rules detected.
96,low,20,Rule: Combinations are not valid if both objects are the same shape.
97,medium,110120,"Rule: Triangles combine only with diamonds and vice versa.  
Rule: Squares combine only with circles and vice versa.  
Rule: Combinations should involve colors or patterns that are different."
98,low,16,No specific rules detected.
99,high,100026,No specific rules detected.
100,medium,10102,No specific rules detected.
101,high,310100,No specific rules detected.
102,high,301020,Rule: Combinations are valid if both objects are the same shape.
103,high,126,No specific rules detected.
104,high,100000,Rule: Combinations are valid if the objects are the same shape.
105,medium,30,No specific rules detected.
106,high,1006,Rule: Combinations are valid if both objects are identical shapes.
107,medium,0,No specific rules detected.
108,high,400023,Rule: Combinations are valid if both objects are the same form.
109,medium,1000,No specific rules detected.
110,high,100000,Rule: Combinations are valid if both objects are the same shape.
111,high,124,No specific rules detected.
112,medium,431,"Rule: Diamond matches with triangle.  
Rule: Circle matches with square.  
Rule: Blank plus lines makes lines.  
Rule: Blank plus crosshatch makes crosshatch.  "
113,medium,1210,Rule: Combinations are valid if one object has a pattern and the other does not.
114,high,211140,Rule: Combinations are valid if objects are the same shape but have different patterns.
115,medium,202,No specific rules detected.
116,medium,48,Rule: Combinations are valid if objects are of different shapes.
117,medium,301000,No specific rules detected.
118,medium,221,"Rule: Combinations are valid if objects are different colors.  
Rule: Checkered shapes can be combined with near full (checkered) shapes.  
Rule: Combined shapes retain properties of each item, the first item will be the shape, the pattern of the second.  
Rule: Colors do not have to be the same to be combined."
119,high,100,"Rule: Combinations are valid if objects have the same color and shape, but different patterns."
120,medium,200213,"Rule: Combinations are valid if objects are the same shape.
Rule: Triangle + Diamond combinations are valid and allow stacking more diamonds.
Rule: Square + Circle combinations are valid and allow stacking more circles."
